country,date,fertility_rate,gdp_per_capita,gdp_growth_rate,population,unemployment_rate,net_migration,avg_dest_gdp,gdp_gap_ratio,migration_pressure,pop_growth,gdp_lag_5,fertility_lag_3
Bulgaria,2006,1.44,4523.1465578805,6.80258943603174,7601022.0,8.951,-15184.0,40982.619977352224,9.060643835639112,13.047327123320322,-0.7566289575154483,1770.90704918691,1.26
Bulgaria,2007,1.49,5888.57081403932,6.65438792422609,7545338.0,6.878,-16366.0,45435.300017531576,7.715845058567753,11.496609137265953,-0.7325856970286315,2092.98288625558,1.33
Bulgaria,2008,1.56,7271.30338858025,6.12955841579208,7492561.0,5.609,-17595.0,46955.33693399176,6.457623128163818,10.073892079935556,-0.6994650206524899,2719.49436859287,1.37
Bulgaria,2009,1.66,6988.27316296465,-3.34714149737695,7444443.0,6.817,-19060.0,42255.83467634836,6.046677582709442,10.037484787297673,-0.6422103203430729,3389.68743360274,1.44
Bulgaria,2010,1.57,6853.94805511171,1.55535979911015,7395599.0,10.279,-21668.0,43814.67728781202,6.392618814076772,10.036411538100532,-0.6561135601414358,3899.82596332878,1.49
Bulgaria,2011,1.51,7849.58061302818,2.09017507758604,7348328.0,11.26,-23360.0,47221.08305970434,6.015745985375336,9.083776437916757,-0.6391774351205304,4523.1465578805,1.56
Bulgaria,2012,1.5,7431.95789508871,0.748815411928831,7305888.0,12.27,-26334.0,46529.73392493532,6.260763930818788,9.391145896228181,-0.5775463479583354,5888.57081403932,1.66
Bulgaria,2013,1.54,7795.98092108928,-0.542751388861134,7160005.0,12.941,-1324.0,47860.02602784562,6.139064027001038,9.454158601581598,-1.99678670135649,7271.30338858025,1.57
Bulgaria,2014,1.62,8069.60005667684,0.949449090947894,7073572.0,11.424,-2180.0,49157.63021882968,6.091705892927908,9.86856354654321,-1.2071639614776752,6988.27316296465,1.51
Bulgaria,2015,1.64,7268.65445473873,3.39755336780412,6984225.0,9.143,-4227.0,44810.92904203534,6.164955195087212,10.110526519943027,-1.263110066597184,6853.94805511171,1.5
Bulgaria,2016,1.67,7822.49923292968,3.02662841229517,6894139.0,7.575,-9482.0,44236.64517592658,5.655052670341916,9.443937959470999,-1.2898496254058256,7849.58061302818,1.54
Bulgaria,2017,1.71,8696.68930427924,2.74592676054861,6803468.0,6.164,-6109.0,45984.52697074104,5.287589950823491,9.041778815908168,-1.3151896125099927,7431.95789508871,1.62
Bulgaria,2018,1.73,9849.38397225174,2.33015213407045,6710798.0,5.211,-3873.0,48615.278707212725,4.935869983764927,8.539055071913323,-1.3620994469291214,7795.98092108928,1.64
Bulgaria,2019,1.79,10353.7204584127,3.79331765354152,6616726.0,4.148,-2156.0,48464.50914927236,4.680878660375028,8.378772802071301,-1.4018005012220613,8069.60005667684,1.67
Bulgaria,2020,1.77,10760.211975413,-3.13323303076419,6550696.0,5.037,30167.0,46886.24039931856,4.3573714445824345,7.712547456910909,-0.9979255601637371,7268.65445473873,1.71
